,lat,lon,city,temp,humidity,windspeed,cloudness
63,29.60400000057109,78.96900000123651,kalagarh,295.95,42.0,1.27,34.0
64,-62.58699999986911,-31.750999999292134,mar del plata,292.49,93.0,4.1,100.0
65,20.809000000529096,-88.66399999956388,tunkas,297.15,70.0,3.83,18.0
66,60.791000000720004,-91.19199999957596,thompson,268.15,57.0,1.26,75.0
67,56.83800000070113,-144.08799999982853,palmer,273.76,86.0,7.7,90.0
68,-53.30499999982479,42.45600000106219,east london,292.15,93.0,5.1,75.0
69,87.44900000084729,-76.28399999950477,qaanaaq,253.45,98.0,2.05,100.0
70,-18.7519999996598,8.876000000901854,namibe,296.55,90.0,2.71,100.0
71,-14.013999999637178,-147.44199999984454,tiarei,303.15,70.0,6.2,20.0
72,24.79500000054813,41.12900000105586,buraydah,283.15,53.0,2.34,33.0
73,14.363000000498317,-90.25699999957149,nueva santa rosa,292.15,55.0,7.2,0.0
74,-26.536999999696974,-97.85599999960777,pisco,295.01,83.0,7.7,80.0
75,36.18900000060253,-168.9409999999472,kapaa,297.36,69.0,8.7,75.0
76,-80.74999999995583,-143.4959999998257,mataura,283.71,91.0,6.71,100.0
77,-42.61699999977375,-38.253999999323185,cidreira,296.35,78.0,11.89,2.0
78,78.79500000080597,-122.31599999972457,tuktoyaktuk,258.15,71.0,5.7,75.0
79,66.81100000074875,-64.60899999944903,pangnirtung,258.85,95.0,1.59,100.0
80,-21.437999999672627,4.34300000088021,henties bay,289.82,91.0,1.34,7.0
82,80.17900000081258,-45.81599999935929,ilulissat,261.15,72.0,8.2,100.0
83,61.0630000007213,8.646000000900756,hemsedal,264.45,38.0,3.13,15.0
84,50.17900000066933,-8.685999999182002,clonakilty,281.15,93.0,5.1,75.0
86,-56.98899999984238,-91.00199999957505,punta arenas,281.05,70.0,6.7,75.0
87,-27.19799999970013,76.92700000122682,bambous virieux,299.2,88.0,5.1,75.0
88,80.33500000081332,-7.487999999176282,husavik,275.15,69.0,19.0,90.0
89,-37.80299999975077,61.08400000115114,saint-philippe,296.43,88.0,4.6,75.0
90,-16.161999999647435,68.60300000118704,quatre cocos,299.2,88.0,5.1,75.0
91,45.94400000064911,-107.00899999965148,sheridan,277.51,44.0,2.13,1.0
93,6.061000000458677,-79.13999999951841,pedasi,298.75,78.0,8.53,35.0
94,-71.38499999991112,-120.16299999971429,rikitea,299.05,75.0,4.06,100.0
95,20.124000000525825,-63.42399999944337,the valley,298.31,73.0,5.7,75.0
96,-65.39699999988252,-151.05199999986178,mataura,283.71,91.0,6.71,100.0
97,-85.25999999997737,-173.65099999996968,vaini,302.15,79.0,4.1,75.0
98,4.431000000450894,-81.78899999953106,la palma,286.39,71.0,3.1,1.0
99,58.60000000070954,-27.826999999273397,olafsvik,274.05,93.0,19.46,99.0
100,-16.735999999650176,76.58700000122519,hithadhoo,302.05,72.0,4.35,61.0
101,-84.35999999997307,-67.92199999946484,ushuaia,281.15,81.0,16.5,90.0
102,22.1080000005353,-26.822999999268603,ponta do sol,287.1,77.0,4.6,75.0
104,-17.185999999652324,-102.93799999963204,puerto ayora,298.71,84.0,3.13,93.0
105,-2.872999999583982,-90.5519999995729,puerto ayora,298.71,84.0,3.13,93.0
106,50.44800000067062,-66.14099999945634,sept-iles,266.0,73.0,2.1,75.0
107,24.526000000546844,-37.79999999932102,ponta do sol,287.1,77.0,4.6,75.0
108,24.381000000546152,11.287000000913366,gat,287.92,55.0,4.1,0.0
109,24.24900000054552,21.132000000960375,jalu,286.85,83.0,4.68,0.0
110,-82.63699999996484,-166.46599999993538,mataura,283.71,91.0,6.71,100.0
111,34.776000000595786,17.02600000094077,marsaxlokk,285.27,93.0,3.6,75.0
112,39.48200000061826,20.052000000955218,perivolion,279.74,65.0,5.7,40.0
115,-81.58499999995982,75.44100000121969,busselton,303.28,22.0,2.7,89.0
117,2.906000000443612,31.36400000100923,arua,293.55,77.0,2.07,49.0
118,-32.95899999972764,-70.22499999947584,los andes,291.15,39.0,1.5,0.0
119,31.586000000580555,42.452000001062174,hit,288.05,44.0,2.71,0.0
120,-45.17199999978595,-151.33699999986314,mataura,283.71,91.0,6.71,100.0
121,36.77400000060533,-140.19399999980993,fortuna,281.9,81.0,0.43,90.0
122,77.01100000079745,-36.209999999313425,tasiilaq,269.15,85.0,2.42,100.0
123,57.10200000070239,-24.584999999257917,grindavik,274.15,74.0,11.8,75.0
124,-13.151999999633063,-12.900999999202128,georgetown,303.79,66.0,2.6,20.0
125,60.82200000072015,-140.1259999998096,haines junction,260.45,95.0,1.59,65.0
126,25.425000000551137,-48.18899999937062,codrington,287.85,68.0,4.83,100.0
127,89.2520000008559,16.581000000938644,longyearbyen,264.15,92.0,15.4,90.0
128,7.085000000463566,-165.5679999999311,makakilo city,296.95,68.0,4.6,90.0
129,80.11500000081227,-141.2329999998149,aklavik,264.15,61.0,1.5,75.0
130,77.49700000079977,-144.23799999982924,aklavik,264.15,61.0,1.5,75.0
131,47.12700000065476,19.944000000954702,tortel,273.59,72.0,9.8,97.0
132,1.9650000004391188,-25.48799999926223,touros,298.15,88.0,1.5,40.0
